NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Dengaon,village,,,,,92.97508260000,26.21752870000
JAKHALA BHANA,locality,,,,,92.98691000000,26.58554000000
North Cāchār Hills,county,,,,,93.00000000000,25.50000000000
Assam,state,,,,,93.00000000000,26.00000000000
Halflong,town,,,,,93.01638360000,25.17296690000
Yengil,village,,,,,93.02300000000,27.38470000000
Howraghat,village,,,,,93.03572710000,26.11346700000
Chutia,village,,,,,93.03635000000,26.73798000000
Sepla,town,,,,,93.04060980000,27.35941830000
SOTHIA,locality,,,,,93.04184000000,26.73935000000
East Kameng,county,,,,,93.05000000000,27.30000000000
Lakhipur,village,,,,,93.08410000000,24.80610000000
Hatikali,village,,,,,93.09070000000,25.60620000000
Langting,village,,,,,93.11363280000,25.49723130000
Jiribam,town,,,,,93.11439920000,24.80872170000
Mahur,village,,,,,93.13460000000,25.17150000000
Maibong,village,,,,,93.15101330000,25.29775060000
Bishwanath Charaili,locality,,,,,93.15147300000,26.74300340000
Bishwanath Ghat,village,,,,,93.16577990000,26.66147940000
Lumding,town,,,,,93.17393400000,25.75567990000
Lungding,village,,,,,93.18810510000,25.59311470000
Burakek,village,,,,,93.18930000000,25.94620000000
Baghuliaghat,village,,,,,93.19760110000,26.05664400000
Ginjia,village,,,,,93.19800000000,26.82680000000
EDETI,locality,,,,,93.21350000000,26.74622000000
Eksekgaon,village,,,,,93.23580000000,26.27570000000
Kaziranga,village,,,,,93.24150000000,26.57870000000
KUTHARI,locality,,,,,93.28079000000,26.57730000000
BORGANG,locality,,,,,93.30414000000,26.82980760000
Oinamlung,village,,,,,93.33090000000,24.72720000000
BEHALI,locality,,,,,93.35323930000,26.83218280000
Nungba,village,,,,,93.35870000000,24.65340000000
ROCK,locality,,,,,93.37693000000,26.56357000000
BEDETI,locality,,,,,93.38631100000,26.85089390000
INTI,locality,,,,,93.40164000000,26.57318000000
ARANYA LODGE (001),locality,,,,,93.40302000000,26.58279000000
Diphu,village,,,,,93.44380000000,25.84030000000
Helem,village,,,,,93.46224230000,26.85047130000
Amlakhi,village,,,,,93.46790000000,25.96040000000
Manipur West,county,,,,,93.50000000000,25.00000000000
Kārbi Ānglong,county,,,,,93.50000000000,26.00000000000
Sagali,village,,,,,93.50153290000,27.24400930000
